time tau_xy tau_yz tau_xz sigma_xy sigma_yz sigma_xz
3470.0000 -0.0271 -0.0310 0.0038 2.7448 2.9478 2.5860
3480.0000 -0.0988 -0.1079 0.1266 2.8236 2.7030 2.6311
3490.0000 -0.1801 -0.1247 0.0828 2.8160 2.8441 2.8313
3500.0000 -0.0053 -0.0077 0.1984 2.5835 2.7379 2.8280
3510.0000 -0.0485 0.0109 0.1296 2.5221 2.7293 2.6771
3520.0000 0.0255 0.0740 0.1592 2.4859 2.5796 2.5538
3530.0000 0.0905 0.1930 0.0127 2.5792 2.7145 2.6359
3540.0000 -0.0793 0.2665 0.2740 2.6422 2.5544 2.6587
3550.0000 -0.0256 0.1651 -0.0013 2.6499 2.8227 2.9121
3560.0000 -0.1086 0.1360 0.1073 2.7533 2.7705 2.6557
3570.0000 -0.1382 0.0706 -0.0031 2.5863 2.5562 2.7057
3580.0000 -0.0273 0.0721 0.2042 2.5589 2.4651 2.6080
3590.0000 -0.1185 0.1697 0.1970 2.6839 2.7000 2.6225
3600.0000 -0.0399 -0.0055 0.0343 2.6384 2.7244 2.7899
3610.0000 0.0605 0.1282 0.0649 2.6412 2.8872 2.6213
3620.0000 0.1576 0.0481 -0.0715 2.5440 2.8195 2.7515
3630.0000 0.0376 0.0056 -0.1913 2.7240 2.6627 2.7557
3640.0000 0.1857 -0.0877 -0.0605 2.5070 2.6124 2.8840
3650.0000 -0.0130 -0.0132 -0.0934 2.6652 2.7300 2.7837
3660.0000 0.1021 0.2080 -0.0568 2.5157 2.7323 2.7203
3670.0000 0.1185 0.0872 0.0686 2.5202 2.7960 2.8225
