time tau_xy tau_yz tau_xz sigma_xy sigma_yz sigma_xz
2420.0000 0.0500 0.1094 0.0139 2.7784 2.5857 2.7873
2430.0000 -0.0284 0.0300 0.1196 2.8244 2.6930 2.7615
2440.0000 -0.0736 0.1582 0.0696 2.8537 2.7975 2.7720
2450.0000 0.0673 0.1121 0.1406 2.8266 2.7699 2.6736
2460.0000 -0.0649 0.1007 -0.0218 3.0496 2.8155 2.9363
2470.0000 0.0267 0.0248 0.0094 2.8675 2.7101 2.7544
2480.0000 -0.1172 -0.1078 0.0953 2.7754 2.7462 2.8868
2490.0000 -0.0151 0.0573 0.0581 2.8229 2.8339 2.7814
2500.0000 0.0249 -0.2722 0.1124 2.9080 2.6864 2.7394
2510.0000 -0.0008 0.0388 0.1835 2.8382 2.8104 2.7536
2520.0000 -0.0300 0.0225 0.1600 2.8975 2.7277 2.7671
2530.0000 -0.0024 0.0145 0.0121 2.7762 2.8002 2.7932
2540.0000 0.0258 0.0183 0.0829 2.7333 2.7893 2.8424
2550.0000 -0.0379 -0.0622 0.2129 2.8088 2.8084 2.7179
2560.0000 -0.0730 -0.0902 0.1784 2.7623 2.7375 2.7402
2570.0000 0.0159 -0.0775 0.2219 2.7679 2.7907 2.8082
2580.0000 0.0926 -0.1237 0.1788 2.8045 2.7549 2.6963
2590.0000 -0.0048 -0.2644 0.1391 2.7542 2.7854 2.8337
2600.0000 0.0282 -0.1320 -0.0631 2.7724 2.6521 2.7180
2610.0000 -0.0784 -0.1536 0.0713 2.9149 2.5903 2.8864
2620.0000 -0.0617 -0.1087 -0.0274 2.9243 2.6628 2.8615
2630.0000 0.0097 -0.2939 0.0670 2.7312 2.6018 2.7128
2640.0000 -0.0006 -0.2410 0.0593 2.6395 2.6432 2.8506
2650.0000 -0.0263 -0.1299 0.1466 2.7272 2.6170 2.8987
2660.0000 0.0092 -0.1906 0.1374 2.7580 2.6644 3.0232
2670.0000 -0.0215 -0.1826 0.0362 2.7653 2.6508 2.9371
2680.0000 -0.0156 -0.1588 -0.0317 2.7149 2.6106 2.7871
2690.0000 0.0334 -0.0867 0.0195 2.6264 2.6486 2.7686
2700.0000 -0.0044 0.0499 -0.0369 2.7454 2.7542 2.8348
2710.0000 0.0671 -0.1020 -0.0431 2.8513 2.6913 2.7584
2720.0000 -0.0410 -0.0999 -0.0368 2.8881 2.7419 2.7742
2730.0000 -0.0565 -0.2440 0.0602 2.6793 2.7853 2.6905
2740.0000 0.0179 -0.1929 0.0736 2.7045 2.6216 2.7311
2750.0000 -0.1017 -0.1076 0.1600 2.7017 2.8777 2.8533
2760.0000 0.0240 -0.1205 0.0706 2.7100 2.8723 2.7672
2770.0000 -0.0147 -0.0939 0.0283 2.7598 2.8017 2.7077
2780.0000 -0.1500 -0.0878 0.1564 2.7267 2.7982 2.5777
2790.0000 0.0497 -0.1113 0.1850 2.7071 2.7995 2.6800
2800.0000 -0.0641 -0.0342 0.0432 2.7532 2.6547 2.7154
2810.0000 0.0006 -0.0545 0.1611 2.7076 2.7847 2.6045
2820.0000 -0.1555 -0.0952 0.0431 2.6629 2.7281 2.6444
2830.0000 -0.0998 -0.2315 0.0069 2.6917 2.7076 2.7348
2840.0000 0.0141 -0.2299 -0.0053 2.7045 2.7312 2.7302
2850.0000 -0.0465 -0.2194 -0.0112 2.6434 2.7391 2.5808
2860.0000 -0.0674 -0.1716 -0.0012 2.6488 2.6345 2.7373
2870.0000 0.0050 -0.1110 -0.0088 2.7106 2.6821 2.5916
2880.0000 -0.0730 -0.1459 0.0337 2.5565 2.5800 2.4965
2890.0000 -0.1039 -0.1314 0.1446 2.6486 2.6451 2.6031
2900.0000 0.0595 -0.2206 0.1613 2.6706 2.5391 2.7772
2910.0000 0.0711 -0.2149 0.0960 2.7455 2.7501 2.7373
2920.0000 0.0979 -0.2011 0.2598 2.6069 2.6881 2.6458
2930.0000 0.0400 -0.1813 0.1871 2.6402 2.6656 2.5493
2940.0000 0.0123 -0.2212 0.1941 2.7284 2.6557 2.6686
2950.0000 -0.0836 -0.2097 0.3346 2.6989 2.6978 2.7696
2960.0000 -0.1441 -0.1017 0.0252 2.7138 2.6791 2.8124
2970.0000 -0.0400 -0.1159 0.1208 2.6817 2.7019 2.7711
2980.0000 -0.1667 0.0305 -0.0354 2.6097 2.7129 2.7680
2990.0000 -0.1291 -0.0551 0.0086 2.6252 2.7326 2.6895
3000.0000 -0.0747 0.1459 0.0086 2.7772 2.5269 2.7000
3010.0000 -0.0646 0.0865 0.1229 2.7335 2.7740 2.7779
3020.0000 -0.0415 0.1082 0.2262 2.6228 2.7806 2.7915
3030.0000 -0.0672 0.0468 0.1417 2.5639 2.8373 2.7837
3040.0000 -0.0814 -0.0750 0.2199 2.7762 2.7354 2.7356
3050.0000 -0.1729 0.0190 0.1366 2.6512 2.7364 2.6735
3060.0000 -0.2698 0.0928 -0.0268 2.6493 2.7461 2.5670
3070.0000 -0.2337 0.0611 0.1480 2.6467 2.8216 2.5487
3080.0000 -0.2137 -0.1135 0.0771 2.6326 2.6387 2.5884
3090.0000 -0.2319 -0.0507 0.0991 2.8081 2.7320 2.8234
3100.0000 -0.1690 -0.2074 0.2467 2.9766 2.8217 2.7585
3110.0000 -0.1047 -0.0316 0.0900 2.7974 2.8335 2.7072
3120.0000 -0.0129 -0.1584 0.1598 2.8684 2.7035 2.8098
3130.0000 -0.0967 -0.2462 0.1465 2.6752 2.7467 2.6751
3140.0000 -0.0380 -0.0511 0.1745 2.7460 2.8284 2.8829
3150.0000 -0.1182 -0.0922 0.0082 2.8790 2.8284 2.8713
3160.0000 -0.0434 -0.0168 0.1263 2.8812 2.7542 2.6898
3170.0000 -0.0886 -0.1162 0.1341 2.8758 2.6429 2.6413
3180.0000 0.1187 -0.0552 0.2868 2.8411 2.7200 2.7462
